TimeStamp,ReactivePower_kVAr,Power_kW,WindSpeed_mps,ErrorCode,GenState,RunState,RotorSpeed_rpm,RotorSpeedAve,RotorOverSpeed,RotorUnderSpeed
2018-04-01 07:01:14.351,900,-1,6.489892,416,1,3,0.07500553,0.008293892,0,0
2018-04-01 07:04:00.150,900,-1,7.094135,416,1,3,0.04500332,0.004558046,0,0
2018-04-01 07:04:11.326,900,-1,6.691307,416,1,3,0.03000221,0.003941249,0,0
2018-04-01 07:04:20.469,900,-1,6.31251,416,1,3,0.04500332,0.004712389,0,0
2018-04-01 07:12:06.149,897,-1,5.699112,416,1,3,0.03000221,0.003745123,0,0
2018-04-01 07:12:24.565,898,-1,5.193287,416,1,3,0.03000221,0.002984972,0,0
2018-04-01 07:15:13.037,897,-1,4.602777,416,1,3,0.06000442,0.006273523,0,0
2018-04-01 07:15:43.812,897,-1,5.974912,416,1,3,0.07500553,0.00785397,0,0
2018-04-01 07:16:39.191,897,-1,5.310016,416,1,3,0.04500332,0.004184761,0,0
2018-04-01 07:17:14.913,897,-1,4.22398,416,1,3,0.04500332,0.004712379,0,0
2018-04-01 07:18:25.374,897,-1,3.254673,416,1,3,0.01500111,0.001571141,0,0
2018-04-01 07:20:05.608,896,-1,4.504358,416,1,3,0.03000221,0.002957886,0,0
2018-04-01 07:21:05.704,895,-1,3.198598,416,1,3,0.04500332,0.005568793,0,0
2018-04-01 07:24:07.736,894,-1,4.519236,416,1,3,0.1650122,0.01699664,0,0
2018-04-01 07:25:57.093,894,-1,5.432467,416,1,3,0.06000442,0.006283829,0,0
2018-04-01 07:26:39.014,893,-1,5.694534,416,1,3,0.01500111,0.001570797,0,0
2018-04-01 07:27:31.289,894,-1,4.725227,416,1,3,0.01500111,0.00242421,0,0
2018-04-01 07:37:36.709,894,-1,2.847267,416,1,3,0,0,0,0
2018-04-01 07:37:44.871,893,-1,2.449016,416,1,3,-0.01500111,-0.001566376,0,0
2018-04-01 07:39:09.743,890,-1,3.445788,416,1,3,0,8.177608E-016,0,0
2018-04-01 07:42:01.801,891,-1,1.01165,416,1,3,0,0,0,0
2018-04-01 07:44:15.974,891,-1,2.706506,416,1,3,0,0,0,0
2018-04-01 07:45:27.587,890,-1,2.926231,416,1,3,0,0,0,0
2018-04-01 07:46:05.311,890,-1,1.746354,416,1,3,0,0,0,0
2018-04-01 07:46:12.501,891,-1,3.783386,416,1,3,0,0,0,0
2018-04-01 07:46:48.222,891,-1,2.008422,416,1,3,0,0,0,0
2018-04-01 07:49:22.594,889,-1,3.169988,416,1,3,0,0,0,0
2018-04-01 07:51:27.083,889,-1,4.551279,416,1,3,0.03000221,0.003264796,0,0
2018-04-01 07:53:35.698,889,-1,2.505092,416,1,3,0,1.308503E-005,0,0
2018-04-01 07:55:18.887,889,-1,3.619737,416,1,3,0.06000442,0.006283185,0,0
2018-04-01 07:55:45.465,890,-1,4.130139,416,1,3,0.03000221,0.003176095,0,0
2018-04-01 08:00:33.339,889,-1,4.425395,416,1,3,0.1500111,0.01560525,0,0
2018-04-01 08:03:02.744,888,-1,3.272984,416,1,3,0.1500111,0.01558498,0,0
2018-04-01 08:04:30.580,887,-1,1.278295,416,1,3,0.1350099,0.01423591,0,0
2018-04-01 08:06:29.451,888,-1,3.606004,416,1,3,0,-9.025099E-020,0,0
2018-04-01 08:08:23.986,886,-1,4.19537,416,1,3,0,2.017087E-027,0,0
2018-04-01 08:11:40.228,886,-1,2.767159,416,1,3,0,3.169085E-013,0,0
2018-04-01 08:11:44.344,886,-1,2.762582,416,1,3,0,9.803117E-017,0,0
2018-04-01 08:12:31.191,884,-1,4.462016,416,1,3,0,6.914827E-028,0,0
2018-04-01 08:12:55.696,883,-1,3.830307,416,1,3,0,0,0,0
2018-04-01 08:17:12.416,907,-1,1.681124,416,1,3,0.01500111,0.0007438496,0,0
2018-04-01 08:19:23.444,907,-1,3.816574,416,1,3,0,-1.073215E-036,0,0
2018-04-01 08:19:47.929,906,-1,3.848617,416,1,3,-0.07500553,-0.008000888,0,0
